,PM2.5_pred,PM2.5_real,PM10_pred,PM10_real,NO2_pred,NO2_real,CO_pred,CO_real,SO2_pred,SO2_real,O3_8h_pred,O3_8h_real
726,20.635487,21.0,29.03985,46.0,35.269455,32.0,0.6207162,0.5,3.1805348,2.0,61.42107,56.0
727,46.0038,37.0,75.02573,71.0,37.567047,41.0,0.67637646,0.6,2.226125,3.0,28.095936,20.0
728,119.21766,131.0,163.7989,166.0,96.93635,92.0,2.5008106,2.3,64.34884,68.0,43.963448,38.0
729,77.180046,82.0,99.79838,108.0,80.68449,74.0,2.3932152,2.4,65.75297,68.0,29.548025,24.000000000000004
730,33.6191,41.0,47.417282,33.0,32.09586,35.0,0.6497947,0.5,2.9358544,3.0,83.73315,84.00000000000001
731,88.54914,86.0,125.76839,129.0,56.74261,57.0,1.2448851,1.2,14.059051,16.0,85.56778,85.0
732,34.19759,28.0,77.23763,75.0,35.656723,41.0,0.47843185,0.4,6.24621,5.0,139.71234,142.0
733,11.3682785,16.0,30.13641,21.0,36.74175,34.0,0.68558717,0.6,17.472483,19.0,46.656414,40.0
734,1.1038933,5.0,8.554826,16.0,23.29781,13.000000000000002,0.20498139,0.2,0.027836632,2.0,63.47488,63.0
735,23.625177,18.0,49.41472,47.0,42.814533,48.0,0.5976708,0.5,4.761038,3.0,70.621506,70.0
736,16.45696,14.0,42.10894,38.0,18.427038,19.0,0.4489251,0.4,1.3054842,3.0,50.418564,58.0
